Title,Product URL,SKU,Image URL,Price,Stock,Available,Option#1
Calibration Weight,https://labequipsupply.co.za/product/calibration-weight/?attribute_calibration-weight-set-range=Calibration+Weight+F1+1kg,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Calibration-Weights-RLS.jpg,R4401.69,,Yes,Calibration-Weight-Set-Range: Calibration Weight F1 1kg
Calibration Weight,https://labequipsupply.co.za/product/calibration-weight/?attribute_calibration-weight-set-range=Calibration+Weight+F1+500g,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Calibration-Weights-RLS.jpg,R3477.96,,Yes,Calibration-Weight-Set-Range: Calibration Weight F1 500g
Calibration Weight,https://labequipsupply.co.za/product/calibration-weight/?attribute_calibration-weight-set-range=Calibration+Weight+F1+200g,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Calibration-Weights-RLS.jpg,R2821.18,,Yes,Calibration-Weight-Set-Range: Calibration Weight F1 200g
Calibration Weight,https://labequipsupply.co.za/product/calibration-weight/?attribute_calibration-weight-set-range=Calibration+Weight+F1+100g,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Calibration-Weights-RLS.jpg,R2411.07,,Yes,Calibration-Weight-Set-Range: Calibration Weight F1 100g
Calibration Weight,https://labequipsupply.co.za/product/calibration-weight/?attribute_calibration-weight-set-range=Calibration+Weight+F1+50g,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Calibration-Weights-RLS.jpg,R2238.35,,Yes,Calibration-Weight-Set-Range: Calibration Weight F1 50g
Calibration Weight,https://labequipsupply.co.za/product/calibration-weight/?attribute_calibration-weight-set-range=Calibration+Weight+F1+20g,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Calibration-Weights-RLS.jpg,R1782.02,,Yes,Calibration-Weight-Set-Range: Calibration Weight F1 20g
Calibration Weight,https://labequipsupply.co.za/product/calibration-weight/?attribute_calibration-weight-set-range=Calibration+Weight+F1+10g,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Calibration-Weights-RLS.jpg,R1698.84,,Yes,Calibration-Weight-Set-Range: Calibration Weight F1 10g
Conductivity Meter,https://labequipsupply.co.za/product/conductivity-meter/?attribute_type=Portable+Meter,EQ-CONMETER02,https://labequipsupply.co.za/wp-content/uploads/2019/09/conductivity-meter-new.png,R3231.04,5 in stock (can be backordered),Yes,Type: Portable Meter
Conductivity Meter,https://labequipsupply.co.za/product/conductivity-meter/?attribute_type=Bench+Top+Meter,EQ-CONMETER01,https://labequipsupply.co.za/wp-content/uploads/2019/09/conductivity-meter-new.png,R9364.55,4 in stock (can be backordered),Yes,Type: Bench Top Meter
Microscope,https://labequipsupply.co.za/product/microscope/?attribute_microscope-range=Microscope+Accessory+Kit,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Microscope-Accessory-Kit-RLS.jpg,R2629.93,12 in stock (can be backordered),Yes,Microscope-Range: Microscope Accessory Kit
